ID,Fecha de Inicio
4868,6/4/15
4872,6/4/15
4882,6/4/15
4884,6/4/15
21259,8/4/15
10155,8/4/15
10798,8/4/15
12789,8/4/15
12801,8/4/15
12822,8/4/15
12825,8/4/15
9309,9/4/15
11046,10/4/15
11053,10/4/15
12820,10/4/15
551,10/4/15
2775,10/4/15
3490,10/4/15
3567,10/4/15
4517,10/4/15
4525,10/4/15
4536,10/4/15
10797,13/4/15
11987,13/4/15
12800,13/4/15
10103,14/4/15
11005,14/4/15
11043,14/4/15
11048,14/4/15
11981,14/4/15
12803,14/4/15
12811,14/4/15
12833,14/4/15
20886,15/4/15
12795,15/4/15
10110,16/4/15
10894,16/4/15
12830,16/4/15
4435,16/4/15
20305,17/4/15
12799,17/4/15
12814,17/4/15
23,17/4/15
4073,17/4/15
4310,17/4/15
10175,22/4/15
10104,23/4/15
20887,23/4/15
23769,23/4/15
7754,23/4/15
11318,24/4/15
299,24/4/15
19316,24/4/15
10152,27/4/15
23772,27/4/15
11029,27/4/15
1347,27/4/15
3960,27/4/15
3972,27/4/15
11027,28/4/15
21,28/4/15
82,28/4/15
6850,29/4/15
10095,30/4/15
11907,30/4/15
11938,30/4/15
289,30/4/15
1240,30/4/15
19314,30/4/15
12793,4/5/15
12831,4/5/15
12832,4/5/15
20229,4/5/15
73,4/5/15
10168,5/5/15
10184,5/5/15
10854,5/5/15
12807,5/5/15
11017,7/5/15
30,8/5/15
615,8/5/15
1179,8/5/15
1183,8/5/15
4543,8/5/15
4737,8/5/15
5258,8/5/15
5260,8/5/15
11297,11/5/15
12792,13/5/15
76,13/5/15
4672,13/5/15
11324,14/5/15
12808,14/5/15
11213,15/5/15
5775,15/5/15
11204,18/5/15
7941,18/5/15
6825,19/5/15
20224,19/5/15
10949,20/5/15
5788,26/5/15
8760,26/5/15
10176,26/5/15
11130,26/5/15
12797,26/5/15
10218,27/5/15
20317,28/5/15
11088,28/5/15
8,1/6/15
10192,2/6/15
10200,2/6/15
23788,5/6/15
10880,5/6/15
3486,5/6/15
10216,8/6/15
6890,8/6/15
11910,10/6/15
20299,10/6/15
12850,10/6/15
10202,12/6/15
1178,12/6/15
1571,12/6/15
4606,12/6/15
23873,15/6/15
6754,15/6/15
12834,15/6/15
7009,16/6/15
11554,16/6/15
20248,17/6/15
75,18/6/15
10108,19/6/15
4471,19/6/15
10164,22/6/15
10195,22/6/15
6920,22/6/15
11580,22/6/15
20460,22/6/15
10205,23/6/15
6848,23/6/15
20884,24/6/15
79,24/6/15
11634,25/6/15
10222,26/6/15
20253,26/6/15
11018,29/6/15
20227,29/6/15
6860,30/6/15
10221,1/7/15
12835,1/7/15
10106,2/7/15
20304,2/7/15
10199,2/7/15
28,2/7/15
11964,3/7/15
5741,3/7/15
6922,6/7/15
10227,7/7/15
6863,7/7/15
10209,8/7/15
6790,8/7/15
10177,10/7/15
10219,10/7/15
10223,10/7/15
11374,10/7/15
12841,13/7/15
10151,14/7/15
10166,14/7/15
23872,14/7/15
11473,14/7/15
7030,15/7/15
20306,17/7/15
10204,17/7/15
10979,17/7/15
11003,17/7/15
11015,17/7/15
10153,20/7/15
10186,21/7/15
6845,22/7/15
6905,23/7/15
10169,24/7/15
1317,24/7/15
20313,27/7/15
6679,27/7/15
5794,28/7/15
20310,28/7/15
10224,29/7/15
6712,29/7/15
11009,29/7/15
10925,30/7/15
681,31/7/15
19311,31/7/15
19322,31/7/15
8739,4/8/15
10022,4/8/15
10032,4/8/15
10037,4/8/15
10040,4/8/15
23774,4/8/15
13234,4/8/15
7142,4/8/15
7807,4/8/15
6743,5/8/15
7987,6/8/15
11259,6/8/15
20789,7/8/15
10212,7/8/15
10215,7/8/15
1180,7/8/15
3254,7/8/15
10197,10/8/15
6808,10/8/15
6823,10/8/15
11032,10/8/15
10210,11/8/15
6931,11/8/15
13325,11/8/15
13328,11/8/15
10156,13/8/15
10189,13/8/15
11040,14/8/15
13211,14/8/15
20421,14/8/15
13317,14/8/15
13323,14/8/15
13327,14/8/15
13329,14/8/15
20420,14/8/15
20422,14/8/15
7031,18/8/15
7144,18/8/15
7189,18/8/15
7070,19/8/15
12817,20/8/15
10207,21/8/15
10226,21/8/15
11021,21/8/15
11022,21/8/15
20811,24/8/15
10945,24/8/15
11023,24/8/15
11056,24/8/15
223,24/8/15
581,24/8/15
724,24/8/15
917,24/8/15
997,24/8/15
998,24/8/15
1197,24/8/15
1198,24/8/15
1455,24/8/15
4992,24/8/15
5061,24/8/15
5089,24/8/15
5105,24/8/15
5181,24/8/15
20888,25/8/15
10213,26/8/15
23789,26/8/15
5371,26/8/15
20309,28/8/15
11060,28/8/15
4364,28/8/15
10090,31/8/15
6846,31/8/15
7220,31/8/15
10150,1/9/15
7954,1/9/15
10193,2/9/15
10927,2/9/15
26,3/9/15
10940,4/9/15
20230,4/9/15
5738,4/9/15
11026,7/9/15
20239,7/9/15
6925,9/9/15
11030,9/9/15
20801,9/9/15
15,9/9/15
78,9/9/15
7049,9/9/15
242,11/9/15
930,11/9/15
1526,11/9/15
3598,11/9/15
5096,11/9/15
19313,11/9/15
6992,14/9/15
10926,14/9/15
11035,14/9/15
11054,14/9/15
1037,14/9/15
5405,14/9/15
20312,15/9/15
10206,15/9/15
6923,15/9/15
6942,15/9/15
6996,15/9/15
20300,15/9/15
8664,16/9/15
10191,16/9/15
5,16/9/15
7,16/9/15
20,16/9/15
10934,17/9/15
11025,17/9/15
11008,18/9/15
11034,18/9/15
11521,18/9/15
4682,18/9/15
10025,21/9/15
10029,21/9/15
20331,21/9/15
20330,21/9/15
23776,21/9/15
5816,22/9/15
6882,22/9/15
6917,22/9/15
11020,22/9/15
11033,22/9/15
11593,22/9/15
10098,23/9/15
10122,23/9/15
10157,23/9/15
10170,23/9/15
10179,23/9/15
11701,23/9/15
794,23/9/15
1127,23/9/15
1164,23/9/15
1205,23/9/15
1270,23/9/15
1301,23/9/15
1440,23/9/15
2984,23/9/15
3601,23/9/15
3633,23/9/15
4268,23/9/15
4891,23/9/15
4913,23/9/15
4914,23/9/15
4960,23/9/15
4961,23/9/15
4969,23/9/15
4986,23/9/15
4989,23/9/15
5003,23/9/15
5020,23/9/15
5021,23/9/15
5032,23/9/15
5051,23/9/15
5068,23/9/15
5109,23/9/15
5160,23/9/15
5180,23/9/15
5212,23/9/15
5250,23/9/15
5332,23/9/15
5355,23/9/15
5372,23/9/15
7139,23/9/15
7148,23/9/15
7187,23/9/15
10935,24/9/15
6870,25/9/15
11036,25/9/15
11050,25/9/15
23773,28/9/15
6880,28/9/15
11007,28/9/15
12865,28/9/15
20373,29/9/15
11045,29/9/15
7046,29/9/15
7072,29/9/15
11052,30/9/15
20810,1/10/15
19,1/10/15
7197,1/10/15
23853,2/10/15
20371,2/10/15
20377,2/10/15
23795,2/10/15
20226,2/10/15
247,2/10/15
467,2/10/15
508,2/10/15
620,2/10/15
630,2/10/15
644,2/10/15
686,2/10/15
687,2/10/15
691,2/10/15
790,2/10/15
858,2/10/15
859,2/10/15
974,2/10/15
1009,2/10/15
1196,2/10/15
1245,2/10/15
1288,2/10/15
1293,2/10/15
1358,2/10/15
1488,2/10/15
1497,2/10/15
1539,2/10/15
2683,2/10/15
3016,2/10/15
3242,2/10/15
3602,2/10/15
3625,2/10/15
3627,2/10/15
4827,2/10/15
4862,2/10/15
4894,2/10/15
4898,2/10/15
4939,2/10/15
4940,2/10/15
4953,2/10/15
4970,2/10/15
4987,2/10/15
5002,2/10/15
5010,2/10/15
5011,2/10/15
5063,2/10/15
5069,2/10/15
5075,2/10/15
5170,2/10/15
5171,2/10/15
5184,2/10/15
5186,2/10/15
5204,2/10/15
5214,2/10/15
5215,2/10/15
5232,2/10/15
5246,2/10/15
5263,2/10/15
5270,2/10/15
5271,2/10/15
5293,2/10/15
5314,2/10/15
5320,2/10/15
5323,2/10/15
5336,2/10/15
5359,2/10/15
5365,2/10/15
19339,2/10/15
19361,2/10/15
19373,2/10/15
19380,2/10/15
19384,2/10/15
19385,2/10/15
19392,2/10/15
19394,2/10/15
19396,2/10/15
19399,2/10/15
19403,2/10/15
19406,2/10/15
19409,2/10/15
19414,2/10/15
19418,2/10/15
19419,2/10/15
19422,2/10/15
19423,2/10/15
19425,2/10/15
19431,2/10/15
19436,2/10/15
19438,2/10/15
19439,2/10/15
19449,2/10/15
7201,2/10/15
29,5/10/15
6864,6/10/15
20314,7/10/15
20372,7/10/15
21387,7/10/15
11286,7/10/15
7673,7/10/15
12898,8/10/15
23854,9/10/15
11028,9/10/15
11047,9/10/15
5013,9/10/15
5173,9/10/15
6995,13/10/15
20981,14/10/15
10208,15/10/15
20364,15/10/15
27,15/10/15
13,16/10/15
481,16/10/15
726,16/10/15
920,16/10/15
996,16/10/15
1533,16/10/15
3207,16/10/15
4921,16/10/15
4968,16/10/15
4972,16/10/15
4998,16/10/15
5040,16/10/15
5090,16/10/15
5143,16/10/15
5179,16/10/15
5193,16/10/15
5261,16/10/15
5330,16/10/15
5331,16/10/15
5343,16/10/15
5358,16/10/15
20315,19/10/15
6895,21/10/15
12791,21/10/15
10185,22/10/15
12894,22/10/15
7168,22/10/15
7174,22/10/15
7001,23/10/15
17,23/10/15
22,23/10/15
267,23/10/15
632,23/10/15
694,23/10/15
701,23/10/15
853,23/10/15
854,23/10/15
919,23/10/15
954,23/10/15
958,23/10/15
963,23/10/15
978,23/10/15
986,23/10/15
1120,23/10/15
1194,23/10/15
1208,23/10/15
1528,23/10/15
3467,23/10/15
3504,23/10/15
3509,23/10/15
3614,23/10/15
4645,23/10/15
4995,23/10/15
5039,23/10/15
5065,23/10/15
5084,23/10/15
5133,23/10/15
5137,23/10/15
5142,23/10/15
5149,23/10/15
5192,23/10/15
5210,23/10/15
5213,23/10/15
5239,23/10/15
5251,23/10/15
5253,23/10/15
5325,23/10/15
5354,23/10/15
5368,23/10/15
203,24/10/15
303,24/10/15
4694,24/10/15
4767,24/10/15
4794,24/10/15
11038,26/10/15
20311,27/10/15
10220,27/10/15
20378,27/10/15
20380,27/10/15
10936,27/10/15
12,27/10/15
7085,27/10/15
21494,28/10/15
11051,28/10/15
7132,28/10/15
10188,29/10/15
55,29/10/15
7170,29/10/15
10214,30/10/15
468,30/10/15
683,30/10/15
795,30/10/15
897,30/10/15
904,30/10/15
924,30/10/15
942,30/10/15
953,30/10/15
962,30/10/15
991,30/10/15
1123,30/10/15
1126,30/10/15
1130,30/10/15
1163,30/10/15
1170,30/10/15
1171,30/10/15
1213,30/10/15
1546,30/10/15
1568,30/10/15
2127,30/10/15
2863,30/10/15
3604,30/10/15
3615,30/10/15
3616,30/10/15
3620,30/10/15
3635,30/10/15
3640,30/10/15
4679,30/10/15
4897,30/10/15
4932,30/10/15
4935,30/10/15
4957,30/10/15
4973,30/10/15
